,file,composition,Ewald_energy,Norm ( Ewald_energy / 2)
0,0,1,-270.5428702,-135.2714351
1,1,0.916666667,-262.3899574,-131.1949787
2,2,0.833333333,-255.2459359,-127.6229679
3,3,0.75,-247.4285627,-123.7142813
4,4,0.666666667,-240.6202867,-120.3101434
5,5,0.583333333,-230.9297458,-115.4648729
6,6,0.5,-222.2480219,-111.124011
7,7,0.416666667,-212.8934491,-106.4467246
8,8,0.333333333,-204.5478177,-102.2739089
9,9,0.25,-193.0941376,-96.54706881
10,10,0.166666667,-182.6250404,-91.3125202
11,11,0.083333333,-169.8173615,-84.90868076
12,12,0,-157.9940374,-78.9970187
